#ImagePath	LabelPath
/home/joutard/data/CardiacMR/mr_train/mr_train_1009_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1009_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1003_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1003_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1007_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1007_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1016_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1016_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1001_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1001_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1013_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1013_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1004_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1004_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1019_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1019_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1015_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1015_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1002_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1002_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1008_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1008_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1020_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1020_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1006_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1006_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1017_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1017_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1018_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1018_label.nii.gz
/home/joutard/data/CardiacMR/mr_train/mr_train_1011_image.nii.gz	/home/joutard/data/CardiacMR/mr_train/mr_train_1011_label.nii.gz
